DAY,REGION,CUSTOMER_TYPE,BATTERY_ACTION,ACTION_COUNT,TOTAL_IMPORT_KWH,TOTAL_EXPORT_KWH,TOTAL_IMPORT_COST_EUR,TOTAL_EXPORT_REVENUE_EUR,TOTAL_NET_MARGIN_EUR,TOTAL_CUSTOMER_MARGIN_EUR,TOTAL_EPOWER_MARGIN_EUR
2026-04-11,North,Kleingewerbe,MAX_CHARGE,4669,19865.6,0,-746.3879,0,746.3879,522.4682,223.9181
2026-04-11,North,Kleingewerbe,SELF_CONSUME,7406,4734,2442.5,427.7136,230.0409,-197.6727,-138.3609,-59.3006
2026-04-11,North,Privatkunde,CHARGE,14406,36089.2,1542.2,1196.0835,92.4643,-1103.6192,-772.5141,-331.0944
2026-04-11,North,Privatkunde,MAX_CHARGE,19894,84592.7,0,-3170.1691,0,3170.1691,2219.1014,951.0617
2026-04-11,North,Privatkunde,SELF_CONSUME,31556,20329.7,10209.8,1852.6734,945.5038,-907.1696,-635.009,-272.1611
2026-04-11,South,Gewerbekunde,CHARGE,1575,3937.2,185.4,130.7195,11.1504,-119.5691,-83.6969,-35.8712
2026-04-11,South,Gewerbekunde,MAX_CHARGE,2175,9280.1,0,-347.1047,0,347.1047,242.9703,104.1317
2026-04-11,South,Gewerbekunde,SELF_CONSUME,3450,2177.9,1257.4,196.6621,118.9211,-77.741,-54.4168,-23.3251
2026-04-11,South,Kleingewerbe,CHARGE,4452,11221.1,504.9,371.2808,30.0607,-341.2201,-238.8474,-102.3685
2026-04-11,South,Kleingewerbe,MAX_CHARGE,6148,26034.3,0,-976.2533,0,976.2533,683.3691,292.8806
2026-04-11,South,Kleingewerbe,SELF_CONSUME,9752,6123.4,3229.1,554.8637,300.7054,-254.1583,-177.9093,-76.2516
2026-04-11,South,Privatkunde,CHARGE,17535,43769.1,1877.1,1457.7572,111.8759,-1345.8813,-942.0913,-403.772
2026-04-11,South,Privatkunde,MAX_CHARGE,24215,103058.2,0,-3870.7713,0,3870.7713,2709.5124,1161.2511
2026-04-11,South,Privatkunde,SELF_CONSUME,38410,24474.3,12665.3,2234.7804,1178.8196,-1055.9608,-739.1578,-316.8026
2026-04-11,West,Gewerbekunde,CHARGE,1659,4139.8,178.5,139.158,10.6596,-128.4984,-89.9484,-38.5493
2026-04-11,West,Gewerbekunde,MAX_CHARGE,2291,9691.4,0,-364.5844,0,364.5844,255.2076,109.377
2026-04-11,West,Gewerbekunde,SELF_CONSUME,3634,2328.4,1175.5,211.8571,109.3534,-102.5037,-71.7541,-30.7505
2026-04-11,West,Kleingewerbe,CHARGE,4494,11319.3,493.4,377.4338,29.3143,-348.1195,-243.6757,-104.4388
2026-04-11,West,Kleingewerbe,MAX_CHARGE,6206,26463.1,0,-993.8041,0,993.8041,695.6528,298.146
2026-04-11,West,Kleingewerbe,SELF_CONSUME,9844,6268.4,3171,570.0071,294.5862,-275.4209,-192.7923,-82.6235
2026-04-11,West,Privatkunde,CHARGE,19005,47631.2,2103.7,1587.7289,124.0065,-1463.7224,-1024.5727,-439.1282
2026-04-11,West,Privatkunde,MAX_CHARGE,26245,111660.9,0,-4192.1149,0,4192.1149,2934.4562,1257.6605
2026-04-11,West,Privatkunde,SELF_CONSUME,41630,26825.1,13641.5,2434.658,1272.4344,-1162.2236,-813.5368,-348.6712
2026-04-12,East,Gewerbekunde,CHARGE,1452,4445.7,32.1,106.5001,1.9404,-104.5597,-73.1892,-31.3692
2026-04-12,East,Gewerbekunde,DISCHARGE,880,126.3,2455.6,17.3665,348.9594,331.5929,232.1145,99.4854
2026-04-12,East,Gewerbekunde,SELF_CONSUME,1892,1166,741.1,117.2588,76.6687,-40.5901,-28.4119,-12.1762
2026-04-12,East,Kleingewerbe,CHARGE,4983,15314.3,94.4,369.997,5.7671,-364.2299,-254.9469,-109.2756
2026-04-12,East,Kleingewerbe,DISCHARGE,3020,463.9,8220.7,63.7445,1166.3489,1102.6044,771.8129,330.8111
2026-04-12,East,Kleingewerbe,SELF_CONSUME,6493,4092.6,2608.5,410.1719,270.2169,-139.955,-97.9668,-41.985
2026-04-12,East,Privatkunde,CHARGE,20229,62677.2,405.5,1515.4096,24.7414,-1490.6682,-1043.4363,-447.2209
2026-04-12,East,Privatkunde,DISCHARGE,12260,1802,32840.8,247.6369,4661.5139,4413.877,3089.6734,1324.2798
2026-04-12,East,Privatkunde,SELF_CONSUME,26359,16593.6,10598.1,1658.5224,1096.1279,-562.3945,-393.6608,-168.7228
2026-04-12,North,Gewerbekunde,CHARGE,2211,6900.7,51.2,167.3495,3.1403,-164.2092,-114.9432,-49.2646
2026-04-12,North,Gewerbekunde,DISCHARGE,1340,202.2,3688.9,27.7813,523.8468,496.0655,347.2427,148.8322
2026-04-12,North,Gewerbekunde,SELF_CONSUME,2881,1818.3,1189.9,182.622,123.6001,-59.0219,-41.3137,-17.7078
2026-04-12,North,Kleingewerbe,CHARGE,5313,16377.4,118.7,395.2596,7.1908,-388.0688,-271.6412,-116.4237
2026-04-12,North,Kleingewerbe,DISCHARGE,3220,487.4,8852,66.9697,1256.7458,1189.7761,832.8332,356.9655
2026-04-12,North,Kleingewerbe,SELF_CONSUME,6923,4448,2616.9,445.2632,270.8258,-174.4374,-122.1045,-52.3316
2026-04-12,North,Privatkunde,CHARGE,22638,69964.2,474.4,1692.2588,28.9201,-1663.3387,-1164.2998,-499.0185
2026-04-12,North,Privatkunde,DISCHARGE,13720,1945.6,36944.5,267.3593,5245.8101,4978.4508,3484.8773,1493.6662
2026-04-12,North,Privatkunde,SELF_CONSUME,29498,18631.4,11518.3,1859.6487,1195.7268,-663.9219,-464.7277,-199.1798
2026-04-12,South,Gewerbekunde,CHARGE,2475,7746.8,45.7,188.635,2.7682,-185.8668,-130.1032,-55.7626
2026-04-12,South,Gewerbekunde,DISCHARGE,1500,203.1,4060.2,27.9472,576.6894,548.7422,384.1171,164.6353
2026-04-12,South,Gewerbekunde,SELF_CONSUME,3225,2067.7,1291.3,206.1808,133.6034,-72.5774,-50.804,-21.7732
2026-04-12,South,Kleingewerbe,CHARGE,6996,21651,148.8,522.6138,9.1508,-513.463,-359.4138,-154.0404
2026-04-12,South,Kleingewerbe,DISCHARGE,4240,616.3,11399.1,84.7125,1618.3985,1533.686,1073.5696,460.1441
2026-04-12,South,Kleingewerbe,SELF_CONSUME,9116,5827.5,3613.7,582.651,375.2522,-207.3988,-145.1767,-62.2182
2026-04-12,South,Privatkunde,CHARGE,27555,84787.2,553.6,2054.9776,33.845,-2021.1326,-1414.7464,-606.3636
2026-04-12,South,Privatkunde,DISCHARGE,16700,2509.3,45067.5,344.8043,6398.474,6053.6697,4237.5193,1816.2646
2026-04-12,South,Privatkunde,SELF_CONSUME,35905,23107.1,13880.1,2315.0147,1444.7646,-870.2501,-609.1635,-261.0797
2026-04-12,West,Gewerbekunde,CHARGE,2607,8088.5,49.8,196.64,3.014,-193.626,-135.5358,-58.0875
2026-04-12,West,Gewerbekunde,DISCHARGE,1580,238.7,4352.4,32.8706,617.8741,585.0035,409.4962,175.5166
2026-04-12,West,Gewerbekunde,SELF_CONSUME,3397,2100.8,1343.4,210.0904,140.0276,-70.0628,-49.041,-21.0173
2026-04-12,West,Kleingewerbe,CHARGE,7062,21769.2,154.1,527.2035,9.3695,-517.834,-362.4723,-155.353
2026-04-12,West,Kleingewerbe,DISCHARGE,4280,610.7,11583,83.9737,1644.3719,1560.3982,1092.2635,468.1617
2026-04-12,West,Kleingewerbe,SELF_CONSUME,9202,5655.3,3746.5,565.3688,387.6483,-177.7205,-124.402,-53.3184
2026-04-12,West,Privatkunde,CHARGE,29865,92227.4,595,2225.2282,36.2519,-2188.9763,-1532.2284,-656.7037
2026-04-12,West,Privatkunde,DISCHARGE,18100,2664.7,49034.2,366.2367,6961.5164,6595.2797,4616.6395,1978.7613
2026-04-12,West,Privatkunde,SELF_CONSUME,38915,24183.1,15936,2420.6336,1654.1833,-766.4503,-536.5108,-229.9551
2026-04-13,East,Gewerbekunde,DISCHARGE,1672,165.1,4995.8,23.0608,772.1004,749.0396,524.3289,224.717
2026-04-13,East,Gewerbekunde,SELF_CONSUME,2552,1508.5,1330.2,165.9965,155.4297,-10.5668,-7.3936,-3.1669
2026-04-13,East,Kleingewerbe,DISCHARGE,5738,544.5,17467.3,76.1399,2701.9075,2625.7676,1838.0462,787.7485
2026-04-13,East,Kleingewerbe,SELF_CONSUME,8758,4823.9,4826.7,530.7889,563.3857,32.5968,22.827,9.7864
2026-04-13,East,Privatkunde,DISCHARGE,23294,2108.6,69483.4,294.3007,10740.0832,10445.7825,7312.0837,3133.7938
2026-04-13,East,Privatkunde,SELF_CONSUME,35554,19170.6,19382.6,2107.5746,2257.5202,149.9456,104.9807,44.9985
2026-04-13,North,Gewerbekunde,DISCHARGE,2546,227.1,7751.1,31.5583,1198.5781,1167.0198,816.9171,350.1125
2026-04-13,North,Gewerbekunde,SELF_CONSUME,3886,2110.1,2120.5,233.176,246.8189,13.6429,9.5531,4.0957
2026-04-13,North,Kleingewerbe,DISCHARGE,6118,643.5,18272.7,89.8444,2824.1098,2734.2654,1913.9953,820.2978
2026-04-13,North,Kleingewerbe,SELF_CONSUME,9338,5388.1,5047.7,593.1171,588.3197,-4.7974,-3.3587,-1.4295
2026-04-13,North,Privatkunde,DISCHARGE,26068,2466.4,78382.7,344.1753,12117.0473,11772.872,8241.0482,3531.9317
2026-04-13,North,Privatkunde,SELF_CONSUME,39788,21618,21892.9,2380.2024,2548.6738,168.4714,117.9509,50.5624
2026-04-13,South,Gewerbekunde,DISCHARGE,2850,258.2,8637,35.9593,1335.5664,1299.6071,909.7264,389.8902
2026-04-13,South,Gewerbekunde,SELF_CONSUME,4350,2324.2,2441.8,255.9553,284.2102,28.2549,19.7831,8.4791
2026-04-13,South,Kleingewerbe,DISCHARGE,8056,672.4,24305.7,93.6937,3756.9834,3663.2897,2564.3165,1099.002
2026-04-13,South,Kleingewerbe,SELF_CONSUME,12296,6607.6,6892.3,727.1286,801.0764,73.9478,51.7682,22.1916
2026-04-13,South,Privatkunde,DISCHARGE,31730,2914.6,94600.4,406.8733,14616.821,14209.9477,9947.0143,4263.0695
2026-04-13,South,Privatkunde,SELF_CONSUME,48430,26211.4,27064.8,2886.1391,3149.2681,263.129,184.2353,78.9713
2026-04-13,West,Gewerbekunde,DISCHARGE,3002,308,9039.8,42.9152,1397.7173,1354.8021,948.3645,406.4497
2026-04-13,West,Gewerbekunde,SELF_CONSUME,4582,2594.4,2458.2,284.9983,286.877,1.8787,1.3195,0.5645
2026-04-13,West,Kleingewerbe,DISCHARGE,8132,751,24536.5,105.0625,3789.2246,3684.1621,2578.9277,1105.2716
2026-04-13,West,Kleingewerbe,SELF_CONSUME,12412,6826.6,6838.7,749.9811,797.3057,47.3246,33.1351,14.202
2026-04-13,West,Privatkunde,DISCHARGE,34390,3229.4,103134.4,450.6921,15937.8051,15487.113,10841.0308,4646.2182
2026-04-13,West,Privatkunde,SELF_CONSUME,52490,28521.4,28984,3141.5956,3374.1224,232.5268,162.7867,69.7897
2026-04-14,East,Gewerbekunde,DISCHARGE,1848,62.4,6130.1,8.6492,1041.5522,1032.903,723.0339,309.8705
2026-04-14,East,Gewerbekunde,SELF_CONSUME,2376,1187.2,1348.3,136.3536,157.937,21.5834,15.1097,6.4764
2026-04-14,East,Kleingewerbe,DISCHARGE,6342,190.3,20861.2,26.4164,3539.6642,3513.2478,2459.2792,1053.9743
2026-04-14,East,Kleingewerbe,SELF_CONSUME,8154,4315.3,4735.2,495.2214,554.1085,58.8871,41.215,17.674
2026-04-14,East,Privatkunde,DISCHARGE,25746,672.9,85941.3,93.495,14578.0992,14484.6042,10139.252,4345.3718
2026-04-14,East,Privatkunde,SELF_CONSUME,33102,17581.1,19009.5,2020.0869,2223.0863,202.9994,142.0892,60.9316
2026-04-14,North,Gewerbekunde,DISCHARGE,2814,75.8,9590.3,10.5053,1629.0988,1618.5935,1133.018,485.5752
2026-04-14,North,Gewerbekunde,SELF_CONSUME,3618,1870.2,2096.1,215.0144,244.4962,29.4818,20.6329,8.8458
2026-04-14,North,Kleingewerbe,DISCHARGE,6762,188.2,22750,26.1213,3856.068,3829.9467,2680.9734,1148.9791
2026-04-14,North,Kleingewerbe,SELF_CONSUME,8694,4649,4930,534.5744,576.4423,41.8679,29.3042,12.5738
2026-04-14,North,Privatkunde,DISCHARGE,28812,798.9,97485.5,110.6581,16529.3208,16418.6627,11493.0916,4925.5817
2026-04-14,North,Privatkunde,SELF_CONSUME,37044,19721.5,21102.5,2266.0773,2470.1864,204.1091,142.8496,61.2548
2026-04-14,South,Gewerbekunde,DISCHARGE,3150,92.6,10471.7,12.8101,1776.4076,1763.5975,1234.5228,529.0784
2026-04-14,South,Gewerbekunde,SELF_CONSUME,4050,2283,2296.3,262.01,268.9345,6.9245,4.8468,2.0798
2026-04-14,South,Kleingewerbe,DISCHARGE,8904,244,29891.1,33.7854,5065.913,5032.1276,3522.5061,1509.6276
2026-04-14,South,Kleingewerbe,SELF_CONSUME,11448,6058,6567.3,696.2421,767.9599,71.7178,50.1945,21.5192
2026-04-14,South,Privatkunde,DISCHARGE,35070,981.2,117768.2,136.0903,19965.8975,19829.8072,13880.9089,5948.9232
2026-04-14,South,Privatkunde,SELF_CONSUME,45090,24836,25518.2,2856.4784,2985.0749,128.5965,90.0144,38.6198
2026-04-14,West,Gewerbekunde,DISCHARGE,3318,93.8,11281.1,12.9931,1909.5483,1896.5552,1327.5947,568.962
2026-04-14,West,Gewerbekunde,SELF_CONSUME,4266,2253,2446.5,258.5759,286.3476,27.7717,19.4408,8.335
2026-04-14,West,Kleingewerbe,DISCHARGE,8988,270.1,30055,37.4849,5090.2561,5052.7712,3536.9503,1515.8269
2026-04-14,West,Kleingewerbe,SELF_CONSUME,11556,6433.9,6497,738.382,761.0897,22.7077,15.891,6.8191
2026-04-14,West,Privatkunde,DISCHARGE,38010,1068.6,126770.5,148.2588,21499.2522,21350.9934,14945.7394,6405.2775
2026-04-14,West,Privatkunde,SELF_CONSUME,48870,26195,27970.3,3011.3729,3271.0151,259.6422,181.7276,77.9178
2026-04-15,East,Gewerbekunde,CHARGE,484,1325.2,26.3,70.2604,1.6057,-68.6547,-48.0581,-20.5975
2026-04-15,East,Gewerbekunde,DISCHARGE,1364,91.5,4279.1,12.2979,678.2101,665.9122,466.1403,199.7778
2026-04-15,East,Gewerbekunde,SELF_CONSUME,2376,1562.1,1440.2,153.28,167.4927,14.2127,9.9485,4.2687
2026-04-15,East,Kleingewerbe,CHARGE,1661,4514.8,97.8,239.7853,5.9256,-233.8597,-163.6938,-70.1584
2026-04-15,East,Kleingewerbe,DISCHARGE,4681,345.3,14249.2,46.3294,2269.1964,2222.867,1556.0186,666.8679
2026-04-15,East,Kleingewerbe,SELF_CONSUME,8154,5343.9,4896.6,521.028,568.0657,47.0377,32.9217,14.1231
2026-04-15,East,Privatkunde,CHARGE,6743,18519.2,420.1,982.6461,25.766,-956.8801,-669.7905,-287.0708
2026-04-15,East,Privatkunde,DISCHARGE,19003,1461.1,58531.9,196.058,9311.209,9115.151,6380.6364,2734.579
2026-04-15,East,Privatkunde,SELF_CONSUME,33102,22212.5,20012,2173.8768,2321.4133,147.5365,103.2594,44.2986
2026-04-15,North,Gewerbekunde,CHARGE,737,2067.1,33.3,109.9018,2.0168,-107.885,-75.517,-32.3658
2026-04-15,North,Gewerbekunde,DISCHARGE,2077,146.3,6299.1,19.64,998.9952,979.3552,685.5525,293.8106
2026-04-15,North,Gewerbekunde,SELF_CONSUME,3618,2395.4,2148,232.9889,250.5314,17.5425,12.2804,5.2674
2026-04-15,North,Kleingewerbe,CHARGE,1771,4975.8,106.6,264.6324,6.4718,-258.1606,-180.7061,-77.4476
2026-04-15,North,Kleingewerbe,DISCHARGE,4991,365.9,15371.5,49.1107,2443.3078,2394.1971,1675.9441,718.2733
2026-04-15,North,Kleingewerbe,SELF_CONSUME,8694,5950.7,5273.5,580.5808,612.2101,31.6293,22.1358,9.4965
2026-04-15,North,Privatkunde,CHARGE,7546,20840.4,477.3,1106.1786,29.4136,-1076.765,-753.7084,-323.0287
2026-04-15,North,Privatkunde,DISCHARGE,21266,1590.4,65878.5,213.3649,10477.9953,10264.6304,7185.2851,3079.4299
2026-04-15,North,Privatkunde,SELF_CONSUME,37044,25065.2,22578.2,2455.7723,2616.5617,160.7894,112.5184,48.2823
2026-04-15,South,Gewerbekunde,CHARGE,825,2287.9,50,121.5267,3.0623,-118.4644,-82.9236,-35.5397
2026-04-15,South,Gewerbekunde,DISCHARGE,2325,172.2,7150.9,23.1112,1137.2406,1114.1294,779.8944,334.2448
2026-04-15,South,Gewerbekunde,SELF_CONSUME,4050,2901.1,2370.7,284.7738,275.9426,-8.8312,-6.1837,-2.6459
2026-04-15,South,Kleingewerbe,CHARGE,2332,6436.6,120.5,341.8143,7.3956,-334.4187,-234.0815,-100.327
2026-04-15,South,Kleingewerbe,DISCHARGE,6572,520.3,20362.9,69.8321,3237.1619,3167.3298,2217.1417,950.213
2026-04-15,South,Kleingewerbe,SELF_CONSUME,11448,7762.3,6816.6,758.6062,793.6204,35.0142,24.4999,10.5187
2026-04-15,South,Privatkunde,CHARGE,9185,25216.5,539.5,1338.8054,33.1412,-1305.6642,-913.9315,-391.7004
2026-04-15,South,Privatkunde,DISCHARGE,25885,1833.8,80446,245.755,12790.9115,12545.1565,8781.6652,3763.606
2026-04-15,South,Privatkunde,SELF_CONSUME,45090,30820.1,27406.1,3021.8473,3183.7179,161.8706,113.2729,48.6149
2026-04-15,West,Gewerbekunde,CHARGE,869,2341.2,60.2,124.0659,3.6978,-120.3681,-84.2544,-36.1101
2026-04-15,West,Gewerbekunde,DISCHARGE,2449,187.7,7472.3,25.1987,1185.8254,1160.6267,812.4426,348.1931
2026-04-15,West,Gewerbekunde,SELF_CONSUME,4266,2741.5,2600.3,269.3414,300.9261,31.5847,22.1044,9.4779
2026-04-15,West,Kleingewerbe,CHARGE,2354,6527.9,153.9,346.2381,9.3398,-336.8983,-235.821,-101.0711
2026-04-15,West,Kleingewerbe,DISCHARGE,6634,533.2,20523.3,71.4665,3268.6961,3197.2296,2238.0742,959.1836
2026-04-15,West,Kleingewerbe,SELF_CONSUME,11556,7891.7,6931.6,777.5552,802.8106,25.2554,17.6691,7.5914
2026-04-15,West,Privatkunde,CHARGE,9955,27605.2,610,1464.997,37.3764,-1427.6206,-999.2949,-428.2862
2026-04-15,West,Privatkunde,DISCHARGE,28055,2144.3,85993.6,287.6511,13669.1718,13381.5207,9367.12,4014.5137
2026-04-15,West,Privatkunde,SELF_CONSUME,48870,32863.7,29840.4,3217.8783,3460.0279,242.1496,169.4712,72.7026
2026-04-16,East,Gewerbekunde,CHARGE,660,1615.6,84,80.7537,5.0796,-75.6741,-52.9736,-22.7014
2026-04-16,East,Gewerbekunde,DISCHARGE,1188,24.5,4072.7,3.3075,638.5154,635.2079,444.6486,190.5625
2026-04-16,East,Gewerbekunde,SELF_CONSUME,2376,1536.3,1634.9,153.3998,186.4823,33.0825,23.1531,9.9266
2026-04-16,East,Kleingewerbe,CHARGE,2265,5366.8,246.5,268.7029,14.9541,-253.7488,-177.6219,-76.1178
2026-04-16,East,Kleingewerbe,DISCHARGE,4077,88.2,13892.1,11.907,2178.6468,2166.7398,1516.7197,650.0245
2026-04-16,East,Kleingewerbe,SELF_CONSUME,8154,4987.4,5495.8,497.6561,624.8872,127.2311,89.0414,38.1708
2026-04-16,East,Privatkunde,CHARGE,9195,21790.2,964.4,1092.4167,58.5384,-1033.8783,-723.703,-310.134
2026-04-16,East,Privatkunde,DISCHARGE,16551,340.9,55789.8,46.0215,8734.4512,8688.4297,6081.9192,2606.54
2026-04-16,East,Privatkunde,SELF_CONSUME,33102,20612.9,21967,2056.7466,2503.1227,446.3761,312.4064,133.9368
2026-04-16,North,Gewerbekunde,CHARGE,1005,2382.8,105.2,119.2342,6.416,-112.8182,-78.9717,-33.8428
2026-04-16,North,Gewerbekunde,DISCHARGE,1809,43.2,6127.5,5.832,962.4006,956.5686,669.6004,286.9723
2026-04-16,North,Gewerbekunde,SELF_CONSUME,3618,2289.2,2374.5,230.2421,269.5296,39.2875,27.4952,11.787
2026-04-16,North,Kleingewerbe,CHARGE,2415,5556.2,257.4,277.9083,15.6171,-262.2912,-183.6031,-78.6799
2026-04-16,North,Kleingewerbe,DISCHARGE,4347,105.5,14701.2,14.2425,2304.74,2290.4975,1603.3534,687.1525
2026-04-16,North,Kleingewerbe,SELF_CONSUME,8694,5508.3,5691,552.9602,648.3636,95.4034,66.77,28.6328
2026-04-16,North,Privatkunde,CHARGE,10290,24464.8,1179.9,1225.2301,71.3126,-1153.9175,-807.7342,-346.1434
2026-04-16,North,Privatkunde,DISCHARGE,18522,440.8,62743.2,59.508,9822.1667,9762.6587,6833.8911,2928.802
2026-04-16,North,Privatkunde,SELF_CONSUME,37044,23227.6,24701.3,2324.4461,2812.6369,488.1908,341.6724,146.4851
2026-04-16,South,Gewerbekunde,CHARGE,1125,2701,114.9,135.2841,6.9378,-128.3463,-89.8432,-38.5016
2026-04-16,South,Gewerbekunde,DISCHARGE,2025,46.4,6738.8,6.264,1053.4878,1047.2238,733.0607,314.1665
2026-04-16,South,Gewerbekunde,SELF_CONSUME,4050,2531.8,2701.5,252.6182,307.8866,55.2684,38.6814,16.5827
2026-04-16,South,Kleingewerbe,CHARGE,3180,7447.8,330,373.482,20.0559,-353.4261,-247.394,-106.0166
2026-04-16,South,Kleingewerbe,DISCHARGE,5724,135.7,19097.2,18.3195,2986.6561,2968.3366,2077.8443,890.5007
2026-04-16,South,Kleingewerbe,SELF_CONSUME,11448,6929.7,7714.4,691.5715,877.7425,186.171,130.3013,55.8572
2026-04-16,South,Privatkunde,CHARGE,12525,29812.6,1382.4,1492.2078,83.7111,-1408.4967,-985.9311,-422.5079
2026-04-16,South,Privatkunde,DISCHARGE,22545,504.8,76617.9,68.148,11996.747,11928.599,8350.0433,3578.5843
2026-04-16,South,Privatkunde,SELF_CONSUME,45090,27774.6,30442.9,2773.6856,3469.6287,695.9431,487.093,208.8079
2026-04-16,West,Gewerbekunde,CHARGE,1185,2829.2,134,141.44,8.1059,-133.3341,-93.3347,-39.9982
2026-04-16,West,Gewerbekunde,DISCHARGE,2133,51.6,7040.5,6.966,1101.7423,1094.7763,766.347,328.433
2026-04-16,West,Gewerbekunde,SELF_CONSUME,4266,2744.8,2785.9,275.4433,317.165,41.7217,29.2,12.5188
2026-04-16,West,Kleingewerbe,CHARGE,3210,7569.1,401.3,378.6065,24.3053,-354.3012,-248.0088,-106.2822
